DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 153.875 18 110 -106 b_quark 0 4.18 216.454 17 -165 139
b_quark 0 4.18 140.39 82 -98 -58 b_quark 0 4.18 240.088 -180 24 157
b_quark 0 4.18 135.305 51 85 92 b_quark 0 4.18 149.922 -129 -63 -43
b_quark 0 4.18 163.65 138 66 -58 b_quark 0 4.18 135.906 -103 -10 88
b_quark 0 4.18 132.44 -57 -93 75 b_quark 0 4.18 137.148 8 62 -122
b_quark 0 4.18 188.827 90 147 77 b_quark 0 4.18 197.278 1 -170 -100
tau+ 0 1.78 138.124 -135 -3 29 tau- 0 1.78 53.077 46 13 -23
b_quark 0 4.18 117.228 0 117 -6 b_quark 0 4.18 143.953 -66 -107 70
b_quark 0 4.18 95.82 18 -74 58 b_quark 0 4.18 145.06 -80 -15 -120
b_quark 0 4.18 149.233 107 20 -102 b_quark 0 4.18 134.961 -84 -95 46
b_quark 0 4.18 162.906 -90 -135 14 b_quark 0 4.18 118.623 103 41 42
b_quark 0 4.18 45.6779 -22 39 -8 b_quark 0 4.18 173.633 39 -131 107
W+ 1 80.4 215.762 118 -137 86 W- 1 80.4 253.237 -175 156 -52
b_quark 0 4.18 131.755 74 -105 -29 b_quark 0 4.18 177.058 16 176 -10
b_quark 0 4.18 175.053 33 124 -119 b_quark 0 4.18 119.057 -8 -98 67
b_quark 0 4.18 156.126 99 66 -101 b_quark 0 4.18 215.637 -16 -155 149
W+ 1 80.4 176.531 -103 103 59 W- 1 80.4 241.804 167 -154 -20
b_quark 0 4.18 180.808 -92 -51 -147 b_quark 0 4.18 250.261 -2 40 247
b_quark 0 4.18 188.161 85 -91 -141 b_quark 0 4.18 222.916 -92 49 197
b_quark 0 4.18 204.202 -130 -141 70 b_quark 0 4.18 255.475 53 196 -155
W+ 1 80.4 218.427 134 93 -121 W- 1 80.4 323.359 -217 -88 208
b_quark 0 4.18 147.219 66 94 -92 b_quark 0 4.18 88.7382 25 -56 64
W+ 1 80.4 146.834 -122 4 -14 W- 1 80.4 158.07 120 39 51
tau+ 0 1.78 179.176 -132 -121 -6 tau- 0 1.78 198.895 84 180 -10
b_quark 0 4.18 85.2025 -11 55 64 b_quark 0 4.18 153.423 33 -124 -84
b_quark 0 4.18 110.831 -41 -48 91 b_quark 0 4.18 72.7425 28 67 -1
b_quark 0 4.18 96.5995 -56 47 -63 b_quark 0 4.18 152.671 -29 29 147
W+ 1 80.4 164.141 -49 134 11 W- 1 80.4 223.842 56 -179 -92
b_quark 0 4.18 205.308 -103 -95 -150 b_quark 0 4.18 220.387 18 130 177
b_quark 0 4.18 171.646 -16 -142 -95 b_quark 0 4.18 141.292 79 117 -4
W+ 1 80.4 131.735 103 16 5 W- 1 80.4 101.391 -16 -38 46
b_quark 0 4.18 208.342 130 -83 -140 b_quark 0 4.18 196.745 -113 -1 161
W+ 1 80.4 173.439 42 -53 -138 W- 1 80.4 178.239 55 86 122
W+ 1 80.4 126.843 30 -25 -90 W- 1 80.4 175.756 61 73 124
b_quark 0 4.18 124.159 103 55 42 b_quark 0 4.18 185.436 -72 -153 -76
b_quark 0 4.18 84.7318 49 0 -69 b_quark 0 4.18 164.413 -143 -81 2
b_quark 0 4.18 92.2576 -63 6 67 b_quark 0 4.18 124.982 101 41 -61
b_quark 0 4.18 179.654 -135 68 -97 b_quark 0 4.18 249.575 154 -23 195
b_quark 0 4.18 84.9204 37 7 -76 b_quark 0 4.18 104.434 -42 -95 -10
W+ 1 80.4 185.696 -53 143 -69 W- 1 80.4 243.514 53 -151 165
